Subject	first	second
S1	0.0773031227369236	1.19010144652106
S2	-0.296868642156621	-0.737327525257229
S3	-1.18324224043267	0.290666645439266
S4	0.0112926884238996	-0.884849568284455
S5	0.991601036059367	0.208006478870832
S6	1.59396745390374	-0.0477301724785263
S7	-1.37271127092917	-1.68452064613859
S8	-0.249610933042319	-0.144226556618951
S9	1.15942452685555	1.18021366550265
S10	-1.1142223478436	0.681399923199504
S11	-2.52850068885039	0.143247630887551
S12	-0.935902558513312	-1.19231644371292
S13	-0.967239457935565	1.16922865278909
S14	0.0474885923277959	0.0792017089453723
S15	-0.403736793498034	-0.451773752768677
S16	0.231496128244633	1.64202821280077
S17	-0.422372407926746	-0.769592321599518
S18	0.374118394695298	0.303360960757848
S19	-0.366005774997015	1.28173742118351
S20	2.5	2.5
S1	0.0773031227369236	1.19010144652106
S2	-0.296868642156621	-0.737327525257229
S3	-1.18324224043267	0.290666645439266
S4	0.0112926884238996	-0.884849568284455
S5	0.991601036059367	0.208006478870832
S6	1.59396745390374	-0.0477301724785263
S7	-1.37271127092917	-1.68452064613859
S8	-0.249610933042319	-0.144226556618951
S9	1.15942452685555	1.18021366550265
S10	-1.1142223478436	0.681399923199504
S11	-2.52850068885039	0.143247630887551
S12	-0.935902558513312	-1.19231644371292
S13	-0.967239457935565	1.16922865278909
S14	0.0474885923277959	0.0792017089453723
S15	-0.403736793498034	-0.451773752768677
S16	0.231496128244633	1.64202821280077
S17	-0.422372407926746	-0.769592321599518
S18	0.374118394695298	0.303360960757848
S19	-0.366005774997015	1.28173742118351
S20	2.5	2.5
